City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,285.43,38,11,2.46,RU,1684993471
1,selfoss,63.9331,-20.9971,278.73,80,100,9.46,IS,1684993471
2,qaqortoq,60.7167,-46.0333,273.76,99,100,3.39,GL,1684993471
3,pisco,-13.7,-76.2167,293.18,83,20,2.57,PE,1684993471
4,waitangi,-43.9535,-176.5597,285.27,79,38,3.13,NZ,1684993471
5,loreto,22.2667,-101.9667,293.29,60,8,3.74,MX,1684993472
6,blackmans bay,-43.0167,147.3167,286.22,73,43,5.91,AU,1684993472
7,hotan,37.0997,79.9269,296.85,25,95,6.07,CN,1684993472
8,ushuaia,-54.8,-68.3,276.96,70,20,3.09,AR,1684993472
9,laza,46.65,27.5833,292.44,68,11,5.09,RO,1684993473
10,cabo san lucas,22.8909,-109.9124,299.76,63,100,7.59,MX,1684993473
11,anadyr,64.75,177.4833,276.43,74,0,3.0,RU,1684993473
12,ilha de mocambique,-15.0342,40.7358,298.16,67,1,2.47,MZ,1684993473
13,adamstown,-25.066,-130.1015,296.64,71,76,2.04,PN,1684993474
14,haiku-pauwela,20.9219,-156.3051,297.16,71,75,6.69,US,1684993474
15,longyearbyen,78.2186,15.6401,275.06,75,75,4.63,SJ,1684993271
16,wailua homesteads,22.0669,-159.378,298.39,79,75,7.2,US,1684993474
17,puerto baquerizo moreno,-0.9,-89.6,298.74,74,3,4.39,EC,1684993475
18,isafjordur,66.0755,-23.124,278.1,73,60,10.93,IS,1684993475
19,klyuchi,52.2667,79.1667,293.32,22,76,4.65,RU,1684993475
20,colonia,50.9333,6.95,284.79,83,0,0.51,DE,1684993456
21,yellowknife,62.456,-114.3525,286.44,67,20,2.06,CA,1684993201
22,mato verde,-15.3972,-42.8664,289.58,94,0,2.27,BR,1684993476
23,bethel,41.3712,-73.414,285.64,77,75,3.6,US,1684993476
24,midvagur,62.0511,-7.1939,280.61,76,20,10.29,FO,1684993476
25,nar'yan-mar,67.6713,53.087,293.04,54,98,4.97,RU,1684993477
26,edinburgh of the seven seas,-37.0676,-12.3116,288.59,80,97,13.75,SH,1684993477
27,truth or consequences,33.1284,-107.2528,295.46,14,0,4.63,US,1684993477
28,kavalerovo,44.2661,135.0572,300.0,28,29,6.1,RU,1684993477
29,horta,38.5333,-28.6333,288.72,79,25,2.68,PT,1684993477
30,port-aux-francais,-49.35,70.2167,279.55,98,100,8.17,TF,1684993478
31,bredasdorp,-34.5322,20.0403,286.31,84,100,4.47,ZA,1684993478
32,tazovsky,67.4667,78.7,275.37,96,99,3.7,RU,1684993478
33,salinas,36.6777,-121.6555,286.8,82,100,5.14,US,1684993478
34,spring creek,40.7266,-115.5859,282.98,87,98,1.01,US,1684993479
35,codrington,-38.2667,141.9667,286.32,59,77,7.36,AU,1684993479
36,kawambwa,-9.7915,29.0791,292.85,68,11,3.58,ZM,1684993479
37,woolgoolga,-30.1106,153.2007,296.08,57,14,4.98,AU,1684993262
38,danville,36.586,-79.395,286.12,87,0,0.45,US,1684993193
39,puerto natales,-51.7236,-72.4875,271.71,86,75,1.26,CL,1684993298
40,banda aceh,5.5577,95.3222,302.04,77,67,8.04,ID,1684993480
41,ulsteinvik,62.3432,5.8487,282.46,83,91,7.15,NO,1684993480
42,bodaybo,57.8506,114.1933,278.18,96,100,1.03,RU,1684993480
43,tiksi,71.6872,128.8694,272.47,74,25,1.79,RU,1684993481
44,kodiak,57.79,-152.4072,279.88,81,100,3.09,US,1684993481
